Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,33.450001,33.540001,32.840000,33.310001,29.302933,14875500
2016-01-05,33.330002,33.410000,32.180000,32.430000,28.528793,19777200
2016-01-06,31.950001,31.980000,31.010000,31.270000,27.508337,27515200
2016-01-07,30.260000,30.820000,29.830000,29.990000,26.382313,21046300
2016-01-08,30.459999,30.700001,29.420000,29.530001,25.977652,16448000
2016-01-11,30.370001,30.480000,29.680000,30.250000,26.611040,16826600
2016-01-12,30.629999,30.750000,29.799999,30.299999,26.655022,13398900
2016-01-13,31.830000,31.900000,30.090000,30.490000,26.822168,31586200
2016-01-14,30.809999,30.889999,29.450001,30.299999,26.655022,27106700
2016-01-15,29.459999,29.680000,28.799999,29.570000,26.012838,26698100
2016-01-19,29.930000,30.000000,28.910000,29.400000,25.863289,17826600
2016-01-20,28.860001,29.900000,28.320000,29.420000,25.880886,21481000
2016-01-21,29.459999,30.139999,29.070000,29.549999,25.995243,15844000
2016-01-22,30.160000,30.290001,29.030001,29.280001,25.757725,18302800
2016-01-25,29.330000,29.590000,29.020000,29.230000,25.713739,33627700
2016-01-26,29.410000,29.750000,29.040001,29.650000,26.083214,11652600
2016-01-27,29.719999,29.900000,29.000000,29.209999,25.696146,12932300
2016-01-28,29.469999,29.480000,28.400000,29.020000,25.529003,16421200
2016-01-29,29.170000,29.639999,29.020000,29.639999,26.074419,13445800
2016-02-01,29.459999,30.240000,29.100000,30.110001,26.487879,13831700
2016-02-02,29.990000,30.190001,28.870001,29.650000,26.083214,23777400
2016-02-03,30.100000,30.250000,28.180000,28.920000,25.441032,29069800
2016-02-04,28.940001,29.209999,28.100000,28.639999,25.194715,20856400
2016-02-05,28.670000,29.200001,28.420000,28.540001,25.106743,14125200
2016-02-08,28.280001,28.840000,28.049999,28.680000,25.229902,19174000
2016-02-09,28.129999,28.870001,27.770000,27.870001,24.517344,21245900
2016-02-10,28.120001,28.639999,27.690001,27.709999,24.376587,15163800
2016-02-11,27.480000,28.090000,26.690001,26.900000,23.664030,25164400
2016-02-12,27.230000,27.740000,27.049999,27.709999,24.376587,11041000
2016-02-16,28.000000,28.590000,27.760000,28.580000,25.141933,14627500
2016-02-17,28.860001,29.350000,28.700001,29.270000,25.748928,13256100
2016-02-18,29.450001,29.549999,28.920000,29.030001,25.537800,12158600
2016-02-19,28.879999,28.980000,28.379999,28.780001,25.317877,12362300
2016-02-22,28.780001,29.639999,28.780001,29.629999,26.065622,12215500
2016-02-23,29.410000,29.820000,29.280001,29.379999,25.845697,9949600
2016-02-24,28.719999,28.900000,27.809999,28.840000,25.370653,20989100
2016-02-25,28.830000,29.510000,28.549999,29.500000,25.951256,11892100
2016-02-26,29.730000,29.959999,29.540001,29.629999,26.065622,15778300
2016-02-29,29.370001,29.799999,29.290001,29.440001,25.898481,10329400
