Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,33.880001,34.009998,33.459999,33.990002,31.410883,27882200
2016-01-05,33.959999,34.000000,33.529999,33.830002,31.263023,16709500
2016-01-06,33.250000,33.520000,32.799999,33.080002,30.569929,25491300
2016-01-07,32.279999,33.009998,31.840000,31.840000,29.424019,37680500
2016-01-08,32.090000,32.220001,31.430000,31.510000,29.119057,29953800
2016-01-11,31.809999,32.220001,31.680000,32.060001,29.627327,27594200
2016-01-12,32.759998,32.889999,32.270000,32.680000,30.200277,28587700
2016-01-13,32.759998,32.930000,31.830000,31.910000,29.488705,34445700
2016-01-14,31.969999,32.869999,31.799999,32.740002,30.255728,48728200
2016-01-15,29.730000,30.500000,29.450001,29.760000,27.501846,76373900
2016-01-19,29.980000,30.059999,29.480000,29.799999,27.538811,28878100
2016-01-20,29.350000,29.870001,29.209999,29.590000,27.344746,39598200
2016-01-21,29.650000,30.030001,29.240000,29.660000,27.409433,30157400
2016-01-22,30.120001,30.240000,29.510000,29.930000,27.658949,25326500
2016-01-25,29.990000,30.219999,29.570000,29.600000,27.353987,26441000
2016-01-26,29.610001,30.049999,29.610001,29.940001,27.668190,24689800
2016-01-27,29.879999,30.219999,29.639999,29.809999,27.548054,26384100
2016-01-28,30.020000,30.180000,29.750000,29.969999,27.695911,22028100
2016-01-29,30.209999,31.030001,30.100000,31.020000,28.666241,38311400
2016-02-01,30.719999,31.120001,30.639999,30.820000,28.481417,19015100
2016-02-02,30.450001,30.490000,29.629999,29.799999,27.538811,24994300
2016-02-03,29.719999,29.719999,28.520000,29.340000,27.352360,44660100
2016-02-04,29.139999,29.879999,29.110001,29.770000,27.753229,29109700
2016-02-05,29.580000,29.760000,28.910000,29.040001,27.072687,27957500
2016-02-08,28.740000,28.980000,28.299999,28.820000,26.867588,28725900
2016-02-09,28.490000,29.150000,28.410000,28.809999,26.858259,22710600
2016-02-10,28.879999,29.000000,28.190001,28.230000,26.317556,27267800
2016-02-11,27.830000,28.410000,27.680000,28.219999,26.308235,28450200
2016-02-12,28.570000,28.700001,28.139999,28.639999,26.699780,19699000
2016-02-16,28.750000,28.950001,28.360001,28.780001,26.830297,30705200
2016-02-17,28.860001,29.620001,28.730000,29.469999,27.473555,27691700
2016-02-18,29.530001,29.760000,29.379999,29.420000,27.426941,20623300
2016-02-19,29.200001,29.330000,28.709999,28.709999,26.765038,42056700
2016-02-22,29.110001,29.540001,29.000000,29.350000,27.361681,23893100
2016-02-23,29.299999,29.350000,28.600000,28.799999,26.848940,26638200
2016-02-24,28.520000,29.299999,28.379999,29.190001,27.212523,21593600
2016-02-25,29.320000,29.620001,28.950001,29.620001,27.613394,17311000
2016-02-26,29.879999,30.080000,29.700001,29.799999,27.781197,19902200
2016-02-29,29.719999,30.139999,29.580000,29.590000,27.585423,22903100
2016-03-01,29.930000,30.530001,29.750000,30.370001,28.312584,25502600
2016-03-02,30.299999,30.870001,30.120001,30.540001,28.471066,23779800
2016-03-03,31.129999,31.350000,30.540001,30.580000,28.508352,25608800
2016-03-04,30.500000,30.860001,30.049999,30.629999,28.554968,20356800
2016-03-07,30.590000,31.120001,30.500000,30.940001,28.843967,18858200
2016-03-08,30.830000,30.879999,30.379999,30.559999,28.489710,19104900
2016-03-09,30.830000,31.040001,30.670000,30.870001,28.778709,14707800
2016-03-10,31.139999,31.400000,30.379999,31.250000,29.132967,29434600
2016-03-11,31.670000,31.790001,31.530001,31.760000,29.608418,22811200
2016-03-14,31.660000,31.690001,31.299999,31.430000,29.300774,17438600
2016-03-15,31.340000,31.650000,31.059999,31.650000,29.505867,16927700
2016-03-16,31.490000,31.799999,31.170000,31.690001,29.543156,26298400
2016-03-17,31.760000,32.169998,31.700001,31.980000,29.813515,22865300
2016-03-18,32.160000,32.689999,32.060001,32.680000,30.466087,49934200
2016-03-21,32.230000,32.419998,31.950001,32.340000,30.149124,21760900
2016-03-22,32.160000,32.459999,31.950001,32.320000,30.130482,22200400
2016-03-23,32.470001,32.470001,31.980000,32.000000,29.832159,18765300
2016-03-24,31.870001,31.950001,31.700001,31.879999,29.720285,14211900
2016-03-28,31.870001,32.000000,31.620001,31.900000,29.738930,11433000
2016-03-29,31.930000,32.439999,31.730000,32.380001,30.186417,15178600
2016-03-30,32.450001,32.750000,32.290001,32.709999,30.494053,16598000
2016-03-31,32.529999,32.660000,32.320000,32.349998,30.158445,17880000
2016-04-01,32.270000,32.470001,32.099998,32.450001,30.251677,18049700
2016-04-04,32.200001,32.380001,31.740000,32.000000,29.832159,21581600
2016-04-05,31.889999,32.119999,31.719999,31.900000,29.738930,20080000
2016-04-06,31.969999,32.230000,31.770000,32.080002,29.906740,15501100
2016-04-07,31.889999,31.900000,31.350000,31.549999,29.412642,23738200
2016-04-08,31.760000,32.020000,31.480000,31.629999,29.487221,17031900
2016-04-11,31.900000,32.340000,31.660000,31.670000,29.524513,19707700
2016-04-12,31.879999,31.940001,31.379999,31.860001,29.701641,16647800
2016-04-13,31.969999,32.180000,31.950001,32.130001,29.953352,19968100
2016-04-14,31.780001,31.889999,31.549999,31.799999,29.645702,21541600
2016-04-15,31.790001,31.889999,31.379999,31.459999,29.328737,28782800
2016-04-18,31.430000,31.719999,31.379999,31.650000,29.505867,21516600
2016-04-19,31.700001,31.809999,31.400000,31.600000,29.459255,33619300
2016-04-20,31.320000,32.259998,31.250000,32.000000,29.832159,57629800
2016-04-21,31.940001,32.060001,31.809999,31.969999,29.804190,28431400
2016-04-22,31.740000,31.860001,31.219999,31.639999,29.496542,29625600
2016-04-25,31.360001,31.500000,31.200001,31.389999,29.263483,19315700
2016-04-26,31.389999,31.700001,31.170000,31.400000,29.272806,20976400
2016-04-27,31.250000,31.799999,31.190001,31.750000,29.599091,20006200
2016-04-28,31.450001,31.709999,31.030001,31.110001,29.002451,25146400
2016-04-29,30.860001,30.870001,30.100000,30.280001,28.228680,36443700
2016-05-02,30.450001,30.690001,30.360001,30.610001,28.536324,21086600
2016-05-03,30.410000,30.559999,30.090000,30.360001,28.303261,27111100
2016-05-04,30.170000,30.209999,29.700001,29.850000,28.068180,23278800
2016-05-05,29.870001,30.020000,29.750000,29.900000,28.115196,23393300
2016-05-06,29.610001,30.110001,29.520000,30.040001,28.246841,19632200
2016-05-09,30.080000,30.170000,29.760000,29.799999,28.021166,16888300
2016-05-10,30.000000,30.180000,29.820000,30.139999,28.340872,16963100
2016-05-11,30.160000,30.250000,29.969999,30.059999,28.265648,15754200
2016-05-12,30.110001,30.240000,29.570000,29.760000,27.983555,20826700
2016-05-13,29.860001,30.200001,29.840000,29.910000,28.124599,19999600
2016-05-16,29.900000,30.559999,29.879999,30.389999,28.575947,21826100
2016-05-17,30.570000,30.570000,29.860001,29.980000,28.190420,25709900
2016-05-18,30.030001,30.250000,29.780001,29.990000,28.199827,22469900
2016-05-19,29.770000,29.930000,29.500000,29.629999,27.861315,21740900
2016-05-20,29.730000,30.379999,29.700001,30.150000,28.350271,22777300
2016-05-23,30.230000,30.480000,30.129999,30.230000,28.425495,20809300
2016-05-24,30.500000,31.120001,30.450001,31.059999,29.205952,23699200
2016-05-25,31.200001,31.570000,31.150000,31.389999,29.516254,18359600
2016-05-26,31.490000,31.629999,31.400000,31.490000,29.610287,12658000
2016-05-27,31.600000,31.650000,31.450001,31.570000,29.685513,13341300
2016-05-31,31.510000,31.650000,31.309999,31.590000,29.704317,23040200
2016-06-01,31.620001,31.719999,31.469999,31.660000,29.770140,17753500
2016-06-02,31.559999,31.760000,31.450001,31.760000,29.864170,13915400
2016-06-03,31.740000,31.740000,31.400000,31.620001,29.732525,15777500
2016-06-06,31.639999,31.820000,31.580000,31.680000,29.788948,15139600
2016-06-07,31.750000,32.020000,31.700001,31.879999,29.977005,19339100
2016-06-08,31.799999,32.000000,31.790001,31.889999,29.986410,12732100
2016-06-09,31.680000,32.000000,31.680000,31.940001,30.033426,11276800
2016-06-10,31.700001,32.240002,31.650000,32.040001,30.127457,35749100
2016-06-13,32.049999,32.500000,32.040001,32.169998,30.249693,23004800
2016-06-14,32.009998,32.240002,31.790001,32.139999,30.221483,18754300
2016-06-15,32.250000,32.259998,31.590000,31.610001,29.723125,23783300
2016-06-16,31.440001,31.770000,31.219999,31.690001,29.798346,18547900
2016-06-17,31.730000,31.809999,31.469999,31.760000,29.864170,27047900
2016-06-20,32.070000,32.439999,32.009998,32.169998,30.249693,21961600
2016-06-21,32.259998,32.380001,32.090000,32.320000,30.390743,15476500
2016-06-22,32.299999,32.630001,32.250000,32.290001,30.362534,18304800
2016-06-23,32.580002,33.000000,32.500000,32.990002,31.020752,22048800
2016-06-24,31.799999,32.320000,31.400000,31.549999,29.666704,38094300
2016-06-27,31.410000,31.410000,30.440001,30.719999,28.886248,34965100
2016-06-28,30.969999,31.200001,30.809999,31.190001,29.328194,23693900
2016-06-29,31.350000,31.980000,31.309999,31.930000,30.024025,22771100
2016-06-30,32.000000,32.880001,31.969999,32.799999,30.842089,34528900
2016-07-01,32.639999,32.889999,32.470001,32.750000,30.795074,17084600
2016-07-05,32.500000,32.730000,32.459999,32.680000,30.729248,20107200
2016-07-06,32.799999,33.000000,32.380001,32.970001,31.001942,21070200
2016-07-07,32.959999,33.549999,32.959999,33.200001,31.218216,26027100
2016-07-08,33.650002,34.000000,33.500000,34.000000,31.970461,23341900
2016-07-11,34.040001,34.500000,34.040001,34.380001,32.327774,23820700
2016-07-12,34.509998,34.970001,34.480000,34.939999,32.854351,28064100
2016-07-13,35.040001,35.250000,34.880001,35.009998,32.920170,29120900
2016-07-14,35.130001,35.299999,34.959999,35.200001,33.098824,25296400
2016-07-15,35.259998,35.290001,34.900002,35.070000,32.976589,23661900
2016-07-18,35.180000,35.200001,34.950001,35.049999,32.957775,19347200
2016-07-19,34.889999,35.160000,34.849998,35.150002,33.051815,20395400
2016-07-20,35.299999,35.930000,35.060001,35.689999,33.559570,42994200
2016-07-21,34.330002,34.490002,33.860001,34.270000,32.224342,63708600
2016-07-22,34.380001,34.700001,34.259998,34.660000,32.591064,33033700
